# Version = 1.0.1, Revision date = 12-Mar-2020
# Temperatures radially out from the centre of an egg, as it's being boiled, at different times.
# This egg had a mass of 60.0g and it took 316.3 seconds to cook.
# Radius(cm)	Initial Temp(K)	Temp(K)[1 mins]	Temp(K)[2 mins]	Temp(K)[3 mins]	Temp(K)[4 mins]	Temp(K)[5 mins]	Temp(K)[6 mins]	Final Temp(K)
0.023508	277.000000	277.000016	277.071537	278.180883	281.659971	287.392081	289.222033
0.047016	277.000000	277.000017	277.072676	278.189121	281.677821	287.416862	289.248045
0.070525	277.000000	277.000019	277.074592	278.202898	281.707616	287.458189	289.291419
0.094033	277.000000	277.000022	277.077315	278.222287	281.749420	287.516101	289.352185
0.117541	277.000000	277.000025	277.080882	278.247390	281.803327	287.590649	289.430386
0.141049	277.000000	277.000030	277.085346	278.278337	281.869454	287.681903	289.526075
0.164558	277.000000	277.000037	277.090771	278.315288	281.947944	287.789942	289.639319
0.188066	277.000000	277.000045	277.097234	278.358432	282.038968	287.914865	289.770194
0.211574	277.000000	277.000056	277.104827	278.407990	282.142718	288.056780	289.918788
0.235082	277.000000	277.000071	277.113655	278.464209	282.259414	288.215811	290.085198
0.258591	277.000000	277.000089	277.123842	278.527371	282.389300	288.392094	290.269533
0.282099	277.000000	277.000113	277.135528	278.597784	282.532643	288.585776	290.471910
0.305607	277.000000	277.000144	277.148870	278.675791	282.689732	288.797019	290.692455
0.329115	277.000000	277.000184	277.164047	278.761763	282.860881	289.025991	290.931303
0.352624	277.000000	277.000236	277.181259	278.856103	283.046424	289.272874	291.188594
0.376132	277.000000	277.000302	277.200729	278.959246	283.246717	289.537858	291.464478
0.399640	277.000000	277.000387	277.222707	279.071659	283.462135	289.821142	291.759108
0.423148	277.000000	277.000497	277.247468	279.193841	283.693075	290.122930	292.072644
0.446657	277.000000	277.000637	277.275318	279.326322	283.939950	290.443437	292.405250
0.470165	277.000000	277.000816	277.306593	279.469664	284.203190	290.782880	292.757093
0.493673	277.000000	277.001045	277.341664	279.624461	284.483243	291.141481	293.128341
0.517181	277.000000	277.001336	277.380938	279.791341	284.780571	291.519468	293.519165
0.540690	277.000000	277.001707	277.424860	279.970960	285.095648	291.917068	293.929736
0.564198	277.000000	277.002177	277.473918	280.164007	285.428964	292.334512	294.360224
0.587706	277.000000	277.002773	277.528644	280.371202	285.781017	292.772028	294.810797
0.611214	277.000000	277.003526	277.589614	280.593295	286.152313	293.229845	295.281619
0.634723	277.000000	277.004475	277.657457	280.831063	286.543369	293.708188	295.772852
0.658231	277.000000	277.005668	277.732852	281.085316	286.954706	294.207279	296.284652
0.681739	277.000000	277.007165	277.816534	281.356885	287.386850	294.727333	296.817166
0.705247	277.000000	277.009038	277.909295	281.646633	287.840327	295.268559	297.370535
0.728756	277.000000	277.011375	278.011986	281.955445	288.315665	295.831160	297.944893
0.752264	277.000000	277.014284	278.125523	282.284226	288.813391	296.415325	298.540359
0.775772	277.000000	277.017894	278.250884	282.633907	289.334025	297.021236	299.157044
0.799280	277.000000	277.022363	278.389114	283.005434	289.878086	297.649060	299.795046
0.822789	277.000000	277.027878	278.541328	283.399771	290.446078	298.298951	300.454447
0.846297	277.000000	277.034666	278.708710	283.817895	291.038501	298.971048	301.135315
0.869805	277.000000	277.042996	278.892513	284.260795	291.655837	299.665473	301.837702
